borrower_id,sector,region,registration_date,business_age_months,monthly_revenue_kes,num_employees,gender_of_owner,bureau_score
BOR100000,Retail & Trade,Rural - Other,2019-11-18,95,80000.0,8,Male,668
BOR100001,Transport & Logistics,Nairobi,2020-03-18,48,388800.0,10,Male,580
BOR100002,Services,Rural - Other,2017-03-04,33,33900.0,12,Female,555
BOR100003,Manufacturing,Nairobi,2021-05-03,30,68100.0,1,Male,582
BOR100004,Manufacturing,Rural - Other,2023-09-15,142,257500.0,18,Male,486
BOR100005,Construction,Rural - Other,2018-02-13,17,168400.0,3,Female,636
BOR100006,Retail & Trade,Rural - Other,2026-04-11,116,44900.0,12,Male,439
BOR100007,Transport & Logistics,Eldoret,2022-02-22,125,85500.0,16,Female,560
BOR100008,Agriculture,Rural - Other,2024-01-08,7,73200.0,2,Male,668
BOR100009,Retail & Trade,Nairobi,2015-10-26,86,89100.0,24,Female,627
BOR100010,Services,Nairobi,2023-12-15,84,44800.0,10,Male,653
BOR100011,Construction,Nairobi,2018-12-05,53,68700.0,1,Male,594
BOR100012,Transport & Logistics,Kisumu,2023-04-14,97,23900.0,16,Female,705
BOR100013,Transport & Logistics,Eldoret,2024-05-20,61,80400.0,14,Male,683
BOR100014,Transport & Logistics,Nakuru,2017-12-02,65,100200.0,16,Female,640
BOR100015,Transport & Logistics,Rural - Other,2018-01-09,64,62400.0,19,Male,683
BOR100016,Services,Nairobi,2015-09-11,116,23600.0,12,Male,668
BOR100017,Retail & Trade,Eldoret,2022-01-22,92,146100.0,20,Female,560
BOR100018,Construction,Nairobi,2024-01-12,56,94400.0,9,Female,479
BOR100019,Manufacturing,Nairobi,2019-10-14,134,44000.0,14,Male,638
BOR100020,Services,Eldoret,2016-11-16,116,60100.0,4,Female,649
BOR100021,Manufacturing,Rural - Other,2018-09-10,135,25600.0,15,Male,698
BOR100022,Agriculture,Nakuru,2019-09-13,106,35700.0,7,Male,516
BOR100023,Construction,Nairobi,2025-09-08,58,50200.0,17,Male,518
BOR100024,Transport & Logistics,Nakuru,2016-06-12,112,172800.0,20,Female,641
BOR100025,Services,Nairobi,2019-01-02,49,46700.0,21,Male,594
BOR100026,Manufacturing,Rural - Other,2022-06-11,41,114500.0,23,Male,430
BOR100027,Transport & Logistics,Eldoret,2017-10-05,67,50200.0,3,Female,634
BOR100028,Services,Nairobi,2025-04-27,140,87000.0,4,Female,433
BOR100029,Manufacturing,Nairobi,2025-08-10,83,66200.0,23,Female,515
BOR100030,Manufacturing,Nairobi,2019-06-08,57,134700.0,10,Female,722
BOR100031,Agriculture,Rural - Other,2023-09-14,68,50300.0,1,Male,764
BOR100032,Retail & Trade,Kisumu,2023-10-26,44,24300.0,7,Female,491
BOR100033,Services,Rural - Other,2022-12-15,96,27800.0,21,Male,570
BOR100034,Construction,Nakuru,2017-03-05,52,50400.0,9,Female,604
BOR100035,Retail & Trade,Nakuru,2015-07-31,81,30500.0,2,Female,760
BOR100036,Construction,Nairobi,2019-01-19,55,97500.0,18,Female,556
BOR100037,Transport & Logistics,Rural - Other,2016-07-13,48,52800.0,5,Male,557
BOR100038,Agriculture,Mombasa,2018-05-30,140,385500.0,9,Male,739
BOR100039,Services,Nakuru,2022-06-12,52,21700.0,1,Female,566
BOR100040,Retail & Trade,Eldoret,2021-11-13,13,84300.0,15,Male,665
BOR100041,Transport & Logistics,Nakuru,2017-06-11,56,33200.0,11,Female,467
