loan_id,borrower_id,disbursement_date,loan_amount_kes,loan_term_months,interest_rate,product_type,loan_officer_id,disbursement_channel
LN200001,BOR100000,2025-02-14,78000.0,12,0.199,Working Capital,LO023,Mobile App
LN200002,BOR100000,2026-02-26,41000.0,3,0.159,Working Capital,LO014,Mobile App
LN200003,BOR100001,2025-12-07,277000.0,18,0.17,Invoice Discounting,LO016,Branch
LN200004,BOR100002,2026-01-11,36000.0,3,0.206,Asset Finance,LO021,Partner Referral
LN200005,BOR100003,2025-12-28,56000.0,3,0.121,Working Capital,LO001,Branch
LN200006,BOR100004,2025-10-19,424000.0,3,0.127,Working Capital,LO004,Mobile App
LN200007,BOR100005,2026-05-16,258000.0,9,0.202,Invoice Discounting,LO019,Branch
LN200008,BOR100006,2025-03-12,49000.0,6,0.21,Invoice Discounting,LO006,Mobile App
LN200009,BOR100006,2026-04-16,35000.0,6,0.122,Working Capital,LO005,Mobile App
LN200010,BOR100007,2025-03-31,78000.0,6,0.236,Working Capital,LO002,Partner Referral
LN200011,BOR100007,2025-12-23,48000.0,6,0.155,Working Capital,LO002,Mobile App
LN200012,BOR100008,2025-03-12,96000.0,3,0.173,Working Capital,LO024,Mobile App
LN200013,BOR100009,2025-03-21,183000.0,12,0.169,Working Capital,LO009,Branch
LN200014,BOR100010,2025-08-23,56000.0,3,0.188,Working Capital,LO007,Mobile App
LN200015,BOR100011,2025-03-22,111000.0,6,0.181,Working Capital,LO011,Mobile App
LN200016,BOR100012,2025-04-27,22000.0,3,0.216,Working Capital,LO012,Partner Referral
LN200017,BOR100012,2026-08-01,20000.0,6,0.198,Working Capital,LO016,Branch
LN200018,BOR100013,2026-05-21,85000.0,3,0.224,Working Capital,LO023,Partner Referral
LN200019,BOR100014,2025-10-01,197000.0,12,0.166,Invoice Discounting,LO024,Branch
LN200020,BOR100015,2026-06-21,133000.0,9,0.156,Working Capital,LO018,Partner Referral
LN200021,BOR100016,2026-07-02,34000.0,12,0.157,Working Capital,LO005,Branch
LN200022,BOR100017,2026-01-02,262000.0,9,0.19,Invoice Discounting,LO012,Partner Referral
LN200023,BOR100018,2025-07-03,146000.0,9,0.207,Working Capital,LO007,Mobile App
LN200024,BOR100019,2025-07-27,36000.0,6,0.154,Invoice Discounting,LO016,Mobile App
LN200025,BOR100020,2026-07-17,71000.0,6,0.125,Asset Finance,LO009,Partner Referral
LN200026,BOR100021,2026-03-18,50000.0,9,0.125,Working Capital,LO009,Mobile App
LN200027,BOR100022,2026-06-17,39000.0,6,0.212,Invoice Discounting,LO016,Branch
LN200028,BOR100023,2025-09-16,84000.0,12,0.2,Working Capital,LO005,Partner Referral
LN200029,BOR100024,2026-05-21,257000.0,12,0.156,Working Capital,LO009,Mobile App
LN200030,BOR100025,2026-03-11,96000.0,3,0.21,Asset Finance,LO019,Branch
LN200032,BOR100026,2026-01-12,138000.0,9,0.164,Invoice Discounting,LO008,Branch
LN200034,BOR100027,2026-05-06,106000.0,12,0.171,Invoice Discounting,LO004,Branch
LN200035,BOR100028,2025-01-14,48000.0,18,0.192,Working Capital,LO008,Branch
LN200036,BOR100028,2026-03-23,76000.0,9,0.219,Working Capital,LO006,Branch
LN200037,BOR100029,2025-05-07,121000.0,3,0.13,Working Capital,LO005,Mobile App
LN200038,BOR100029,2025-11-20,143000.0,6,0.176,Asset Finance,LO024,Mobile App
LN200039,BOR100030,2025-06-28,77000.0,9,0.202,Working Capital,LO008,Mobile App
LN200040,BOR100031,2026-03-02,55000.0,9,0.14,Asset Finance,LO004,Mobile App
LN200041,BOR100032,2026-06-03,20000.0,6,0.207,Asset Finance,LO007,Mobile App
LN200043,BOR100033,2025-01-19,32000.0,6,0.179,Working Capital,LO020,Mobile App
LN200044,BOR100033,2026-07-05,53000.0,18,0.231,Asset Finance,LO024,Branch
LN200046,BOR100034,2025-07-26,88000.0,6,0.131,Asset Finance,LO013,Mobile App
LN200047,BOR100035,2026-04-25,57000.0,3,0.218,Working Capital,LO001,Partner Referral
LN200049,BOR100036,2025-05-21,123000.0,6,0.121,Working Capital,LO021,Branch
LN200050,BOR100037,2026-06-02,42000.0,6,0.198,Invoice Discounting,LO005,Mobile App
LN200052,BOR100038,2025-02-06,678000.0,3,0.127,Working Capital,LO008,Branch
