month,total_collected_kes,installments_paid
2025-01,5575.67,2
2025-02,642463.57,33
2025-03,1940480.52,74
2025-04,2785126.02,103
2025-05,3217244.74,135
2025-06,3864445.81,182
2025-07,3920219.7,204
2025-08,5113975.78,244
2025-09,5463351.34,279
2025-10,5912334.33,303
2025-11,5969011.98,303
2025-12,6356124.34,322
2026-01,6507648.48,341
2026-02,6469695.87,337
2026-03,6584903.08,377
2026-04,6820489.86,369
2026-05,6838717.12,392
2026-06,8114492.14,411
2026-07,8572250.22,441
2026-08,9524918.07,475
2026-09,547277.86,25
