sector,loan_size_band,n_borrowers,n_loans,avg_bureau_score,avg_business_age_months,avg_loan_amount_kes
Agriculture,Medium (500K+),5,5,680.0,82.0,684200.0
Agriculture,Micro (<100K),74,90,591.0,77.0,52522.0
Agriculture,Small (100K-500K),57,66,629.0,85.0,174455.0
Construction,Micro (<100K),78,94,596.0,74.0,58979.0
Construction,Small (100K-500K),71,85,604.0,84.0,183176.0
Manufacturing,Medium (500K+),1,1,638.0,57.0,505000.0
Manufacturing,Micro (<100K),80,89,600.0,72.0,54270.0
Manufacturing,Small (100K-500K),56,70,592.0,71.0,205571.0
Retail & Trade,Medium (500K+),3,4,588.0,93.0,646250.0
Retail & Trade,Micro (<100K),94,113,596.0,77.0,51407.0
Retail & Trade,Small (100K-500K),65,77,597.0,83.0,189831.0
Services,Medium (500K+),2,4,479.0,75.0,681500.0
Services,Micro (<100K),75,83,584.0,69.0,55639.0
Services,Small (100K-500K),67,79,603.0,77.0,204127.0
Transport & Logistics,Medium (500K+),2,3,725.0,85.0,1005667.0
Transport & Logistics,Micro (<100K),87,102,584.0,69.0,57324.0
Transport & Logistics,Small (100K-500K),76,83,586.0,68.0,185867.0
